Model,Scoring,Mean,STD
LR,roc_auc,0.5137880459417702,0.03748410886094764
LDA,roc_auc,0.5942562847457642,0.035677689302754785
KNN,roc_auc,0.8619470455989608,0.021331795949496656
CART,roc_auc,0.7462399388346179,0.01910550468335488
NB,roc_auc,0.4579060972043402,0.0355144227763512
SVM,roc_auc,0.7384706748578633,0.03978332520729017
RF,roc_auc,0.870159588819672,0.025323684457499458
