Model,Scoring,Mean,STD
LR,roc_auc,0.5004392058555578,0.03639744157351654
LDA,roc_auc,0.5995857886694457,0.037770814463352495
KNN,roc_auc,0.844680890941145,0.022383159814057533
CART,roc_auc,0.7387329688472488,0.02951785089175533
NB,roc_auc,0.5876596293977184,0.0464543070552772
SVM,roc_auc,0.7394388222832615,0.042942177207965934
RF,roc_auc,0.8730862117324774,0.02168454171226366
