Model,Scoring,Mean,STD
LR,accuracy,0.7315766672256694,0.021093394545253955
LDA,accuracy,0.728957739392923,0.021854758865194373
KNN,accuracy,0.8214125999217397,0.019414702113888446
CART,accuracy,0.8000740678629326,0.016857819256222602
NB,accuracy,0.3324626865671642,0.05666288534158321
SVM,accuracy,0.7525420649561183,0.020606429163736863
RF,accuracy,0.841269774721896,0.01869508427490874
