Model,Scoring,Mean,STD
LR,accuracy,0.7341955950584158,0.022844521235245906
LDA,accuracy,0.7308262060484096,0.02019708400996084
KNN,accuracy,0.8086883000726705,0.018431522000240008
CART,accuracy,0.7907289395718039,0.022657781755490217
NB,accuracy,0.6724118173179048,0.03354573786889364
SVM,accuracy,0.7671432165017609,0.018793259368931572
RF,accuracy,0.8382707250265525,0.01817576372585255
